Date,Close,Volume,Daily_Return_pct,article_count,mean_sentiment,positive_count,negative_count
2023-01-03,108.0999984741211,231402800,,3.0,-0.32316933075586957,0.0,1.0
2023-01-04,113.63999938964844,180389000,5.124885285593783,2.0,-0.5556632280349731,0.0,2.0
2023-01-05,110.33999633789062,157986300,-2.9039097760312105,2.0,-0.7985467612743378,0.0,2.0
2023-01-06,113.05999755859375,220911100,2.4651090365942707,2.0,-0.38583895564079285,0.0,1.0
2023-01-09,119.7699966430664,190284000,5.9349011404278285,3.0,-0.2965937654177348,0.0,1.0
2023-01-10,118.8499984741211,167642500,-0.7681374256751861,2.0,-0.005551248788833618,1.0,1.0
2023-01-11,123.22000122070312,183810800,3.6769060182475055,2.0,-0.27702271938323975,0.0,1.0
2023-01-12,123.55999755859375,169400900,0.27592625752506095,1.0,0.0,0.0,0.0
2023-01-13,122.4000015258789,180714100,-0.9388119582672827,2.0,-0.9610194265842438,0.0,2.0
2023-01-17,131.49000549316406,186477000,7.426473736900463,3.0,0.0,0.0,0.0
2023-01-18,128.77999877929688,195680300,-2.0609982513142944,3.0,-0.6308616995811462,0.0,2.0
2023-01-19,127.16999816894531,170291900,-1.2501946153228194,3.0,-0.2901804248491923,0.0,1.0
2023-01-20,133.4199981689453,138858100,4.91468120625187,1.0,0.0,0.0,0.0
2023-01-23,143.75,203119200,7.742468874848996,3.0,-0.1721610426902771,0.0,1.0
2023-01-24,143.88999938964844,158699100,0.09739087975544347,1.0,0.0,0.0,0.0
2023-01-25,144.42999267578125,192734300,0.3752820129427681,3.0,0.5818382898966471,2.0,0.0
2023-01-26,160.27000427246094,234815100,10.967259156647335,2.0,0.3740916848182678,1.0,0.0
2023-01-27,177.89999389648438,306590600,11.000180416824756,1.0,-0.7344281077384949,0.0,1.0
2023-01-30,166.66000366210938,230878800,-6.318150994943417,3.0,0.19596179326375326,1.0,0.0
2023-01-31,173.22000122070312,196813500,3.9361558949042363,3.0,-0.3156825105349223,0.0,1.0
2023-02-01,181.41000366210938,213806300,4.7280928205116535,1.0,-0.9354658722877502,0.0,1.0
2023-02-02,188.27000427246094,217448300,3.7814897039133877,3.0,-0.6980622013409933,0.0,3.0
2023-02-03,189.97999572753906,232662000,0.9082654784473565,1.0,-0.8034854531288147,0.0,1.0
2023-02-06,194.75999450683594,186188100,2.516053735548107,3.0,0.0,0.0,0.0
2023-02-07,196.80999755859375,186010300,1.0525791279409002,1.0,0.7317602634429932,1.0,0.0
2023-02-08,201.2899932861328,180673600,2.2763049555982517,2.0,0.4273994266986847,1.0,0.0
2023-02-09,207.32000732421875,215431400,2.995684951667865,2.0,0.0,0.0,0.0
2023-02-10,196.88999938964844,204754100,-5.030873801899527,1.0,0.0,0.0,0.0
2023-02-13,194.63999938964844,172475500,-1.1427700782035255,3.0,0.0,0.0,0.0
2023-02-14,209.25,216455700,7.50616556523096,3.0,0.277121623357137,1.0,0.0
2023-02-15,214.24000549316406,181006400,2.384709913101113,0.0,0.0,0.0,0.0
2023-02-16,202.0399932861328,229586500,-5.694553722096751,3.0,-0.37329880396525067,1.0,2.0
2023-02-17,208.30999755859375,213738500,3.1033480898909227,2.0,0.0,0.0,0.0
2023-02-21,197.3699951171875,180018600,-5.251789433835996,3.0,0.0,0.0,0.0
2023-02-22,200.86000061035156,191828500,1.7682553475729224,1.0,0.0,0.0,0.0
2023-02-23,202.07000732421875,146360000,0.6024129792842503,2.0,-0.43350550532341003,0.0,1.0
2023-02-24,196.8800048828125,142228100,-2.5684180003413215,0.0,0.0,0.0,0.0
2023-02-27,207.6300048828125,161028300,5.46017865369246,3.0,0.17538889249165854,1.0,0.0
2023-02-28,205.7100067138672,153144900,-0.9247209573726933,1.0,0.6629412770271301,1.0,0.0
2023-03-01,202.77000427246094,156852800,-1.4291975817664837,2.0,0.12888294458389282,1.0,1.0
2023-03-02,190.89999389648438,181500700,-5.853928157947319,2.0,0.0,0.0,0.0
2023-03-03,197.7899932861328,154193300,3.6092192823141467,2.0,-0.4372875690460205,0.0,1.0
2023-03-06,193.80999755859375,128100100,-2.0122331071529054,3.0,-0.3078254858652751,0.0,1.0
2023-03-07,187.7100067138672,148125800,-3.147407730028162,2.0,-0.4540071189403534,0.0,1.0
