Date,Adj Close,Close,High,Low,Open,Volume,Prev_Close,Daily_Return,Daily_Return_pct,MA5,MA10,Close_to_MA5,Close_to_MA10,Volatility_5d,Volume_change_pct,article_count,mean_sentiment,positive_count,negative_count,Next_Return,Target
2023-01-17,131.49000549316406,131.49000549316406,131.6999969482422,125.0199966430664,125.69999694824219,186477000,122.4000015258789,0.07426473736900463,7.426473736900463,123.90400085449218,118.44299926757813,0.06122485623027285,0.11015430465511145,0.03588481286649263,3.1889597989310126,3.0,0.0,0.0,0.0,-0.020609982513142944,0
2023-01-18,128.77999877929688,128.77999877929688,136.67999267578125,127.01000213623047,136.55999755859375,195680300,131.49000549316406,-0.020609982513142944,-2.0609982513142944,125.89000091552734,120.5109992980957,0.02295653223252203,0.0686161390193687,0.038676277300688344,4.935353957860755,3.0,-0.6308616995811462,0.0,2.0,-0.012501946153228194,0
2023-01-19,127.16999816894531,127.16999816894531,129.99000549316406,124.30999755859375,127.26000213623047,170291900,128.77999877929688,-0.012501946153228194,-1.2501946153228194,126.68000030517578,121.86399917602539,0.0038679970207540215,0.04354033208163233,0.038580082051573567,-12.97442818720127,3.0,-0.2901804248491923,0.0,1.0,0.0491468120625187,1
2023-01-20,133.4199981689453,133.4199981689453,133.50999450683594,127.3499984741211,128.67999267578125,138858100,127.16999816894531,0.0491468120625187,4.91468120625187,128.6520004272461,124.17199935913087,0.03706120173697225,0.07447732868557067,0.04269230894957585,-18.458775784403137,1.0,0.0,0.0,0.0,0.07742468874848996,1
2023-01-23,143.75,143.75,145.3800048828125,134.27000427246094,135.8699951171875,203119200,133.4199981689453,0.07742468874848996,7.742468874848996,132.9220001220703,127.24099960327149,0.08146130714242705,0.12974591875419406,0.04711693967311806,46.2782509626734,3.0,-0.1721610426902771,0.0,1.0,0.0009739087975544347,1
2023-01-24,143.88999938964844,143.88999938964844,146.5,141.10000610351562,143.0,158699100,143.75,0.0009739087975544347,0.09739087975544347,135.4019989013672,129.6529998779297,0.06268740902757486,0.10980848514976982,0.042451365214482346,-21.86898136660641,1.0,0.0,0.0,0.0,0.003752820129427681,1
2023-01-25,144.42999267578125,144.42999267578125,146.41000366210938,138.07000732421875,141.91000366210938,192734300,143.88999938964844,0.003752820129427681,0.3752820129427681,138.53199768066406,132.21099929809571,0.04257496530666449,0.09242039953223102,0.037943415040975245,21.446372411689786,3.0,0.5818382898966471,2.0,0.0,0.10967259156647335,1
2023-01-26,160.27000427246094,160.27000427246094,161.4199981689453,154.75999450683594,159.97000122070312,234815100,144.42999267578125,0.10967259156647335,10.967259156647335,145.1519989013672,135.91599960327147,0.10415292579860802,0.17918423688364116,0.04700987587160746,21.83358125668342,2.0,0.3740916848182678,1.0,0.0,0.11000180416824756,1
2023-01-27,177.89999389648438,177.89999389648438,180.67999267578125,161.1699981689453,162.42999267578125,306590600,160.27000427246094,0.11000180416824756,11.000180416824756,154.047998046875,141.34999923706056,0.15483483168896162,0.25857796149064827,0.05458553956429621,30.566816188567092,1.0,-0.7344281077384949,0.0,1.0,-0.06318150994943417,0
2023-01-30,166.66000366210938,166.66000366210938,179.77000427246094,166.5,178.0500030517578,230878800,177.89999389648438,-0.06318150994943417,-6.318150994943417,158.62999877929687,145.7759994506836,0.05062097298496937,0.14326092285507452,0.07572492453667704,-24.69475580790801,3.0,0.19596179326375326,1.0,0.0,0.03936155894904236,1
2023-01-31,173.22000122070312,173.22000122070312,174.3000030517578,162.77999877929688,164.57000732421875,196813500,166.66000366210938,0.03936155894904236,3.9361558949042363,164.49599914550782,149.9489990234375,0.05303473713958429,0.1551927812044167,0.07368035933206896,-14.754624504285363,3.0,-0.3156825105349223,0.0,1.0,0.047280928205116535,1
2023-02-01,181.41000366210938,181.41000366210938,183.80999755859375,169.92999267578125,173.88999938964844,213806300,173.22000122070312,0.047280928205116535,4.7280928205116535,171.89200134277343,155.21199951171874,0.05537199081390587,0.16878852300599756,0.07085589961432653,8.633960576891319,1.0,-0.9354658722877502,0.0,1.0,0.03781489703913388,1
2023-02-02,188.27000427246094,188.27000427246094,196.75,182.61000061035156,187.3300018310547,217448300,181.41000366210938,0.03781489703913388,3.7814897039133877,177.49200134277345,161.3220001220703,0.0607238796573879,0.1670448180037405,0.062128649647784036,1.7034109846155054,3.0,-0.6980622013409933,0.0,3.0,0.009082654784473565,1
2023-02-03,189.97999572753906,189.97999572753906,199.0,183.69000244140625,183.9499969482422,232662000,188.27000427246094,0.009082654784473565,0.9082654784473565,179.9080017089844,166.97799987792968,0.0559841359076787,0.13775464951326,0.04554974815774192,6.996467666107309,1.0,-0.8034854531288147,0.0,1.0,0.025160537355481072,1
2023-02-06,194.75999450683594,194.75999450683594,198.1699981689453,189.9199981689453,193.00999450683594,186188100,189.97999572753906,0.025160537355481072,2.516053735548107,185.5279998779297,172.0789993286133,0.049760654106013824,0.13180571288021925,0.01494287125326086,-19.974856229208036,3.0,0.0,0.0,0.0,0.010525791279409002,1
2023-02-07,196.80999755859375,196.80999755859375,197.5,189.5500030517578,196.42999267578125,186010300,194.75999450683594,0.010525791279409002,1.0525791279409002,190.24599914550782,177.37099914550782,0.03450268832232051,0.10959513396628595,0.016724371768308852,-0.09549482485722294,1.0,0.7317602634429932,1.0,0.0,0.022763049555982517,1
2023-02-08,201.2899932861328,201.2899932861328,203.0,194.30999755859375,196.10000610351562,180673600,196.80999755859375,0.022763049555982517,2.2763049555982517,194.2219970703125,183.05699920654297,0.036391327050671496,0.09960282403087795,0.011777810391594675,-2.869034671735915,2.0,0.4273994266986847,1.0,0.0,0.029956849516678652,1
2023-02-09,207.32000732421875,207.32000732421875,214.0,204.77000427246094,207.77999877929688,215431400,201.2899932861328,0.029956849516678652,2.995684951667865,198.03199768066406,187.76199951171876,0.04690156011318969,0.10416382368829291,0.009234342913175285,19.237896405451593,2.0,0.0,0.0,0.0,-0.05030873801899527,0
2023-02-10,196.88999938964844,196.88999938964844,206.1999969482422,192.88999938964844,202.22999572753906,204754100,207.32000732421875,-0.05030873801899527,-5.030873801899527,199.41399841308595,189.66100006103517,-0.012657080463373771,0.03811537072084881,0.03316662312128437,-4.956241290731067,1.0,0.0,0.0,0.0,-0.011427700782035255,0
2023-02-13,194.63999938964844,194.63999938964844,196.3000030517578,187.61000061035156,194.4199981689453,172475500,196.88999938964844,-0.011427700782035255,-1.1427700782035255,199.38999938964844,192.45899963378906,-0.023822659183209804,0.011332282512168224,0.03235532196675491,-15.764568328546291,3.0,0.0,0.0,0.0,0.0750616556523096,1
2023-02-14,209.25,209.25,209.82000732421875,189.44000244140625,191.94000244140625,216455700,194.63999938964844,0.0750616556523096,7.50616556523096,201.87799987792968,196.06199951171874,0.03651710501653471,0.06726443941776195,0.047007955193948917,25.49938976840189,3.0,0.277121623357137,1.0,0.0,0.02384709913101113,1
2023-02-15,214.24000549316406,214.24000549316406,214.66000366210938,206.11000061035156,211.75999450683594,181006400,209.25,0.02384709913101113,2.384709913101113,204.46800231933594,199.34499969482422,0.04779233456081955,0.07471973624190476,0.047065501201265084,-16.377161700985464,0.0,0.0,0.0,0.0,-0.05694553722096751,0
2023-02-16,202.0399932861328,202.0399932861328,217.64999389648438,201.83999633789062,210.77999877929688,229586500,214.24000549316406,-0.05694553722096751,-5.694553722096751,203.41199951171876,200.7219985961914,-0.006744962091122408,0.00656626926375381,0.054838617566026544,26.838885254886023,3.0,-0.37329880396525067,1.0,2.0,0.031033480898909227,1
2023-02-17,208.30999755859375,208.30999755859375,208.44000244140625,197.5,199.99000549316406,213738500,202.0399932861328,0.031033480898909227,3.1033480898909227,205.6959991455078,202.55499877929688,0.01270806638896671,0.028412030381770537,0.04945010485943515,-6.902844897239168,2.0,0.0,0.0,0.0,-0.05251789433835996,0
2023-02-21,197.3699951171875,197.3699951171875,209.7100067138672,197.22000122070312,204.99000549316406,180018600,208.30999755859375,-0.05251789433835996,-5.251789433835996,206.24199829101562,202.81599884033204,-0.04301744187577827,-0.026851943408231493,0.05719060319316459,-15.776240593061154,3.0,0.0,0.0,0.0,0.017682553475729224,1
2023-02-22,200.86000061035156,200.86000061035156,201.99000549316406,191.77999877929688,197.92999267578125,191828500,197.3699951171875,0.017682553475729224,1.7682553475729224,204.56399841308593,203.22099914550782,-0.01810679216024469,-0.011617886660746923,0.0435115812368355,6.560377649865079,1.0,0.0,0.0,0.0,0.006024129792842503,1
2023-02-23,202.07000732421875,202.07000732421875,205.13999938964844,196.3300018310547,203.91000366210938,146360000,200.86000061035156,0.006024129792842503,0.6024129792842503,202.12999877929687,203.29900054931642,-0.0002967963955891051,-0.00604524971483833,0.04096961072001365,-23.702682343864446,2.0,-0.43350550532341003,0.0,1.0,-0.025684180003413215,0
2023-02-24,196.8800048828125,196.8800048828125,197.6699981689453,192.8000030517578,196.3300018310547,142228100,202.07000732421875,-0.025684180003413215,-2.5684180003413215,201.0980010986328,202.25500030517577,-0.02097482915183979,-0.026575340111508305,0.033984385592002245,-2.8231074063951866,0.0,0.0,0.0,0.0,0.0546017865369246,1
2023-02-27,207.6300048828125,207.6300048828125,209.4199981689453,201.25999450683594,202.02999877929688,161028300,196.8800048828125,0.0546017865369246,5.46017865369246,200.96200256347657,203.3290008544922,0.033180413383021135,0.021152929539048904,0.041073476826264804,13.218344335612997,3.0,0.17538889249165854,1.0,0.0,-0.009247209573726933,0
